Organization Name,Organization Name URL,Description,B2B Binary
E-stado,https://www.crunchbase.com/organization/e-stado,E-stado creates an intelligent management system of herd of dairy cows.,1
mKomornik,https://www.crunchbase.com/organization/mkomornik,mKomornik is an AI-based software for mobile and web tools and artificial intelligence.,1
Vortex Oil Engineering,https://www.crunchbase.com/organization/vortex-oil,Vortex Oil improves water flooding technology and can boost oil extraction volume.,1
See My Model,https://www.crunchbase.com/organization/see-my-model,See My Model creates and implements augmented reality solutions.,1
Biometric Security,https://www.crunchbase.com/organization/biometric-security-bf55,Non-contact authentication using a subcutaneous vein system.,1
Holo4Med,https://www.crunchbase.com/organization/holo4med,MediSMART is an IT solution for the medical industry.,1
Led Digital Ltd.,https://www.crunchbase.com/organization/led-digital-ltd,Led Digital creates a network of dynamic and attractive marketing and advertising devices.,1
Bpower2,https://www.crunchbase.com/organization/bpower2,"Bpower2 is a modular IT system to manage businesses, tasks and projects efficiently, always focusing to increase companies productivity.",1
Rebread,https://www.crunchbase.com/organization/rebread,Rebread builds an ecosystem to transform leftover bread from waste to resource,1
Hinter AI,https://www.crunchbase.com/organization/hinter-ai,SaaS system for collecting and analyzing information in an organization.,1
NUADU,https://www.crunchbase.com/organization/nuadu,"NUADU is designed to be the leading assessment, drill and practice tool available globally.",1
My Egg,https://www.crunchbase.com/organization/my-egg,My Egg is a producer of plant-based protein intended to offer a replacement for liquid eggs.,0
UAVLAS,https://www.crunchbase.com/organization/uavlas,UNMANNED AERIAL VEHICLES LANDING ASSISTANCE SYSTEMS,1
mTap Smart City,https://www.crunchbase.com/organization/mtap-iot,mTap deliver hardware and software for light managment. Our Smart Suggestions system give up to 25% of additional energy costs cut!,1
ChallengeRocket,https://www.crunchbase.com/organization/challengerocket,Building the world's first candidate hiring technology we can trust in the era of Chat GPT.,1
Navimed,https://www.crunchbase.com/organization/navimed,Navimed develops micro-location system with artificial intelligence.,1
Nanosci,https://www.crunchbase.com/organization/nanosci,We produce patented photocatalytic nanomaterials to purify the air from smog and reduce diseases transmission.,1
Husarnet,https://www.crunchbase.com/organization/husarnet,"A privacy preserving, P2P VPN for low latency M2M communication over the internet",0
Trasee,https://www.crunchbase.com/organization/trasee,AI Powered Computer Vision Solutions,1
PushPushGo,https://www.crunchbase.com/organization/pushpushgo,PushPushGo is a platform for sending automatic web push notifications.,1
muke,https://www.crunchbase.com/organization/muke,Fully automated and scalable vertical farming for supermarkets and wholesalers,1
Noctiluca,https://www.crunchbase.com/organization/noctiluca,Noctiluca specializes in the synthesis of organic compounds used in optoelectronics.,1
Podhash,https://www.crunchbase.com/organization/hintech,Podhash is a marketing platform with millions of podcasts and episodes.,0
INNERWEB LTD,https://www.crunchbase.com/organization/innerweb-ltd,Increase work efficiency and detect hazardous situations on production sites by observing workers and tools in motion,1
SnapLab,https://www.crunchbase.com/organization/snaplab,"Powered by AI, cloud-based SaaS solution for online ordering prints, mugs, calendars, and clothes",1
Wedding.pl,https://www.crunchbase.com/organization/wedding-pl,Wedding.pl is the most visited wedding portal in Poland.,0
Future Friendly Farms,https://www.crunchbase.com/organization/future-friendly-farms,We build vertical farms in different types and sizes - from 2sqm to 1000 sqm. Plus we grow healthy and tasty greens on our vertical farm.,1
Multilango,https://www.crunchbase.com/organization/multilango,Multilango is an operator of a learning platform designed to improve employees' language skills.,1
Whirla,https://www.crunchbase.com/organization/whirla,Whirla is an office management system that supports hybrid work. Built by workplace experts for the future of work.,1
Altera,https://www.crunchbase.com/organization/altera-4f08,The New Dimension of Accounting,1
Walksee,https://www.crunchbase.com/organization/walksee,A tool for creating virtual tours using a mobile phone.,0
Dekoeko,https://www.crunchbase.com/organization/dekoeko,"Dekoeko.com is a platform that aims to promote and build a strong upcycling, eco-design and slow fashion market in Poland.",0
Apropo,https://www.crunchbase.com/organization/apropo,Apropo is a proposal automation tool for software development companies and specialists.,1
Edward.ai,https://www.crunchbase.com/organization/2040-io,"Using technology based on deep learning algorithms, we are creating a new category of software - inteligent assistant Edward",1
Glaze Prosthetics,https://www.crunchbase.com/organization/glaze-prosthetics,Glaze Prosthetics is a designer of prosthetic devices.,1
Waste24,https://www.crunchbase.com/organization/waste24,waste24.net offers waste management software.,1
SEEDiA,https://www.crunchbase.com/organization/seedia,Tech company that builds an intelligent infrastructure that allows to realistically optimize city services and reduce costs.,1
Quantum Flytrap,https://www.crunchbase.com/organization/quantum-flytrap,Quantum Flytrap develops a no-code IDE for quantum technologies.,1
Ninja Lender,https://www.crunchbase.com/organization/ninja-lender,B2B marketplace to help credit institutions reduce the wastage of loan applications by matching rejected borrowers with alternative lenders,1
StreamCards,https://www.crunchbase.com/organization/streamcards,Interactive entertainment,0
Fandla,https://www.crunchbase.com/organization/fandla-com,Fandla is a financial company that provides financial services for small businesses.,1
Lerta,https://www.crunchbase.com/organization/lerta,"Lerta designs an operations platform for entities involved in production, distribution, or trading of electricity or gas.",1
Cateringoo,https://www.crunchbase.com/organization/cateringoo-pl,Curated B2B marketplace for catering services.,1
Farada Group,https://www.crunchbase.com/organization/farada-group,Farada Group is a Unmanned Aerial Vehicles manufacturing company.,1
Crush Vibro Tech One,https://www.crunchbase.com/organization/crush-vibro-tech-one,Crush Vibro Tech One is a hardware and software solutions in polymer grinding.,1
CosmoEye,https://www.crunchbase.com/organization/cosmoeye,CosmoEye is developing a B2B streaming system for warehouse management and enterprise resource planning.,1
AI Busters,https://www.crunchbase.com/organization/ai-busters,AI Busters is an online platform that influences the digital transformation of the organization.,1
Softsbuddy,https://www.crunchbase.com/organization/softsbuddy,"Softsbuddy Private Limited offers software, mobile app, and web development solutions, delivering innovative and efficient digital services.",1
Unicomm,https://www.crunchbase.com/organization/unicomm-0699,Unicomm is a developer of a home automation system designed to be used for energy and thermal optimization.,0
Lumilook,https://www.crunchbase.com/organization/lumilook,Lumilook is an AI powered solution for the warehouses to protect and increase safety.,1
Bin-e,https://www.crunchbase.com/organization/bin-e-smart-waste-bin,Bin-e is a smart waste management system that uses artificial intelligence to identify the type of waste.,1
Automade.com,https://www.crunchbase.com/organization/automade-com,"Robotic software solution to automate business processes in every company, from corporations through SMEs to small organizations.",1
SAMITO,https://www.crunchbase.com/organization/savecart-834b,"SAMITO is a Marketing Automation (SaaS) powered by Big Data with advanced personalization, recommendation system and targeting capabilities.",1
GIGLIKE,https://www.crunchbase.com/organization/giglike,The gateway to flexible work,1
Urvis.Bike,https://www.crunchbase.com/organization/urvis-bike,Electric cargo bikes made from scratch in EU.,0
Axonometry,https://www.crunchbase.com/organization/axonometry,Axonometry creates solutions that improve the quality of life of patients and make the work of doctors easier.,1
Appet,https://www.crunchbase.com/organization/appet,Appet develops an innovative application that will allow individuals to select food tailored to the needs of each pet.,0
Deligoo,https://www.crunchbase.com/organization/deligoo,DeliGoo is an urban logistics company that revolutionizes on-demand delivery.,1
Nourica,https://www.crunchbase.com/organization/nourica,Nourica is a seed-stage MedTech startup developing the technology of non-invasive diagnostics of health biomarkers from human sweat.,1
